iter	Passed	Remaining
0	68	34224
1	137	34234
2	207	34388
3	275	34110
4	342	33886
5	427	35210
6	492	34692
7	563	34625
8	632	34532
9	701	34386
10	774	34428
11	842	34253
12	909	34072
13	987	34267
14	1068	34556
15	1147	34696
16	1222	34724
17	1303	34909
18	1380	34952
19	1472	35344
20	1548	35323
21	1621	35227
22	1729	35873
23	1824	36194
24	1910	36294
25	1986	36222
26	2071	36282
27	2161	36442
28	2255	36635
29	2338	36630
30	2432	36807
31	2548	37266
32	2642	37400
33	2818	38627
34	2930	38935
35	3038	39159
36	3169	39666
37	3285	39939
38	3433	40589
39	3603	41441
40	3772	42229
41	3930	42855
42	4052	43072
43	4204	43573
44	4364	44131
45	4525	44664
46	4689	45200
47	4846	45639
48	5005	46073
49	5157	46421
50	5302	46679
51	5394	46479
52	5516	46523
53	5670	46830
54	5843	47277
55	5953	47204
56	6081	47268
57	6170	47024
58	6248	46701
59	6329	46415
60	6400	46062
61	6474	45739
62	6546	45411
63	6617	45080
64	6688	44758
65	6760	44452
66	6831	44147
67	6920	43962
68	6991	43670
69	7060	43374
70	7132	43096
71	7204	42825
72	7278	42574
73	7348	42305
74	7416	42025
75	7491	41793
76	7568	41576
77	7641	41341
78	7733	41211
79	7816	41035
80	7912	40928
81	7990	40733
82	8066	40529
83	8134	40287
84	8201	40042
85	8273	39829
86	8344	39611
87	8413	39390
88	8481	39169
89	8549	38949
90	8622	38751
91	8689	38534
92	8761	38344
93	8831	38146
94	8908	37976
95	8991	37837
96	9059	37639
97	9130	37452
98	9201	37272
99	9273	37094
100	9340	36900
101	9406	36704
102	9474	36518
103	9542	36334
104	9607	36143
105	9683	35993
106	9758	35840
107	9827	35669
108	9900	35513
109	10006	35479
110	10080	35325
111	10149	35161
112	10217	34993
113	10289	34841
114	10358	34678
115	10424	34509
116	10491	34345
117	10558	34179
118	10625	34019
119	10704	33896
120	10775	33751
121	10843	33595
122	10914	33453
123	10996	33342
124	11079	33237
125	11147	33087
126	11216	32941
127	11286	32800
128	11356	32660
129	11422	32510
130	11490	32365
131	11560	32228
132	11635	32106
133	11711	31988
134	11789	31876
135	11859	31741
136	11931	31614
137	12001	31481
138	12100	31426
139	12190	31346
140	12266	31231
141	12335	31098
142	12406	30972
143	12479	30852
144	12553	30733
145	12626	30614
146	12698	30493
147	12774	30383
148	12844	30257
149	12916	30138
150	12987	30018
151	13058	29897
152	13148	29820
153	13216	29693
154	13285	29571
155	13351	29442
156	13422	29324
157	13490	29200
158	13561	29084
159	13629	28962
160	13711	28871
161	13799	28791
162	13875	28688
163	13964	28609
164	14063	28553
165	14158	28487
166	14237	28390
167	14319	28297
168	14394	28192
169	14468	28085
170	14549	27991
171	14617	27875
172	14686	27760
173	14784	27699
174	14856	27590
175	14933	27492
176	15016	27402
177	15107	27328
178	15208	27274
179	15294	27190
180	15366	27081
181	15438	26974
182	15510	26867
183	15585	26767
184	15657	26660
185	15737	26568
186	15815	26471
187	15883	26359
188	15956	26256
189	16026	26148
190	16149	26126
191	16278	26113
192	16397	26082
193	16539	26087
194	16640	26027
195	16727	25944
196	16877	25959
197	17045	25998
198	17190	26001
199	17354	26031
200	17515	26054
201	17662	26056
202	17800	26043
203	17945	26039
204	18124	26081
205	18276	26083
206	18454	26122
207	18582	26086
208	18717	26061
209	18866	26053
210	18971	25984
211	19070	25907
212	19220	25897
213	19292	25783
214	19359	25662
215	19428	25544
216	19511	25446
217	19578	25326
218	19649	25211
219	19719	25097
220	19792	24986
221	19862	24873
222	19941	24770
223	20011	24657
224	20082	24545
225	20150	24429
226	20220	24317
227	20290	24206
228	20357	24090
229	20426	23979
230	20525	23902
231	20618	23817
232	20690	23709
233	20760	23600
234	20830	23489
235	20901	23381
236	20979	23280
237	21049	23172
238	21119	23063
239	21190	22956
240	21256	22844
241	21323	22732
242	21389	22621
243	21458	22513
244	21526	22405
245	21607	22309
246	21678	22204
247	21746	22097
248	21817	21992
249	21883	21883
250	21955	21780
251	22023	21673
252	22089	21565
253	22157	21459
254	22223	21352
